,date,weekday,holiday
358,7/9/51,quinta-feira,Independência do Brasil
359,12/10/51,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
360,2/11/51,quinta-feira,Finados
361,15/11/51,quarta-feira,Proclamação da República
362,20/11/51,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
363,25/12/51,segunda-feira,Natal
364,1/1/52,segunda-feira,Confraternização Universal
365,4/3/52,segunda-feira,Carnaval
366,5/3/52,terça-feira,Carnaval
367,19/4/52,sexta-feira,Paixão de Cristo
368,21/4/52,domingo,Tiradentes
369,1/5/52,quarta-feira,Dia do Trabalho
370,20/6/52,quinta-feira,Corpus Christi
371,7/9/52,sábado,Independência do Brasil
372,12/10/52,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
373,2/11/52,sábado,Finados
374,15/11/52,sexta-feira,Proclamação da República
375,20/11/52,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
376,25/12/52,quarta-feira,Natal
377,1/1/53,quarta-feira,Confraternização Universal
378,17/2/53,segunda-feira,Carnaval
379,18/2/53,terça-feira,Carnaval
380,4/4/53,sexta-feira,Paixão de Cristo
381,21/4/53,segunda-feira,Tiradentes
382,1/5/53,quinta-feira,Dia do Trabalho
383,5/6/53,quinta-feira,Corpus Christi
384,7/9/53,domingo,Independência do Brasil
385,12/10/53,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
386,2/11/53,domingo,Finados
387,15/11/53,sábado,Proclamação da República
388,20/11/53,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
389,25/12/53,quinta-feira,Natal
390,1/1/54,quinta-feira,Confraternização Universal
391,9/2/54,segunda-feira,Carnaval
392,10/2/54,terça-feira,Carnaval
393,27/3/54,sexta-feira,Paixão de Cristo
394,21/4/54,terça-feira,Tiradentes
395,1/5/54,sexta-feira,Dia do Trabalho
396,28/5/54,quinta-feira,Corpus Christi
397,7/9/54,segunda-feira,Independência do Brasil
398,12/10/54,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
399,2/11/54,segunda-feira,Finados
400,15/11/54,domingo,Proclamação da República
401,20/11/54,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
402,25/12/54,sexta-feira,Natal
403,1/1/55,sexta-feira,Confraternização Universal
404,1/3/55,segunda-feira,Carnaval
